year,reef,in/out,position,core,top/bot,total mass,sample mass,hydro 40sec,temp 40sec,hydro 2hr,temp 2hr,cor. 40sec,temp.cor. 40sec,cor. 2hr,temp.cor. 2hr,sand,silt,clay,grain,percent
1,1,IN,0,1,Top,51.40,51.43,23.0,19.2,12.0,19.8,20.000,19.712,10.000,9.928,61.6717,19.0243,19.3040,sand,61.6717
1,1,IN,0,2,Top,61.60,50.29,23.0,19.2,14.0,19.8,20.000,19.712,12.000,11.928,60.8029,15.4786,23.7186,sand,60.8029
1,1,IN,0,3,Top,41.20,41.21,21.0,18.6,13.0,19.6,18.000,17.496,11.000,10.856,57.5433,16.1133,26.3434,sand,57.5433
1,1,IN,0,4,Top,56.00,50.34,25.0,18.6,14.0,19.6,22.000,21.496,12.000,11.856,57.2975,19.1504,23.5521,sand,57.2975
1,1,IN,0,5,Top,36.10,35.95,20.5,18.6,12.5,19.6,17.500,16.996,10.500,10.356,52.7221,18.4709,28.8070,sand,52.7221
1,1,IN,0,1,Bot,141.10,50.08,22.0,19.1,13.5,19.8,19.000,18.676,11.500,11.428,62.7071,14.4733,22.8196,sand,62.7071
1,1,IN,0,2,Bot,151.90,50.59,27.5,18.6,18.0,19.7,24.500,23.996,16.000,15.892,52.5669,16.0196,31.4135,sand,52.5669
1,1,IN,0,3,Bot,128.10,50.75,31.5,18.6,18.5,19.6,28.500,27.996,16.500,16.356,44.8346,22.9366,32.2288,sand,44.8346
1,1,IN,0,4,Bot,109.90,50.38,30.0,18.6,17.0,19.7,27.000,26.496,15.000,14.892,47.4069,23.0336,29.5595,sand,47.4069
1,1,IN,0,5,Bot,135.60,50.60,29.0,18.5,17.5,19.6,26.000,25.460,15.500,15.356,49.6829,19.9690,30.3481,sand,49.6829
1,1,IN,12,1,Top,42.20,42.17,22.5,18.6,14.0,19.6,19.500,18.996,12.000,11.856,54.9528,16.9322,28.1151,sand,54.9528
1,1,IN,12,2,Top,40.60,40.66,24.0,18.6,15.0,19.7,21.000,20.496,13.000,12.892,49.5907,18.7022,31.7071,sand,49.5907
1,1,IN,12,3,Top,41.10,41.02,27.0,18.6,16.0,19.6,24.000,23.496,14.000,13.856,42.7196,23.5015,33.7789,sand,42.7196
1,1,IN,12,4,Top,28.50,28.51,20.0,18.8,12.5,19.8,17.000,16.568,10.500,10.428,41.8858,21.5374,36.5769,sand,41.8858
1,1,IN,12,5,Top,28.90,28.74,22.5,18.7,14.5,19.7,19.500,19.032,12.500,12.392,33.7773,23.1047,43.1179,sand,33.7773
1,1,IN,12,1,Bot,118.70,50.32,26.5,18.5,15.5,19.6,23.500,22.960,13.500,13.356,54.3711,19.0865,26.5424,sand,54.3711
1,1,IN,12,2,Bot,123.10,50.28,32.5,18.6,18.5,19.7,29.500,28.996,16.500,16.392,42.3301,25.0683,32.6016,sand,42.3301
1,1,IN,12,3,Bot,77.40,50.65,28.5,18.7,20.0,19.7,25.500,25.032,18.000,17.892,50.5777,14.0973,35.3250,sand,50.5777
1,1,IN,12,4,Bot,145.10,50.47,27.0,18.7,16.5,19.7,24.000,23.532,14.500,14.392,53.3735,18.1104,28.5161,sand,53.3735
1,1,IN,12,5,Bot,143.60,50.33,34.0,18.8,18.5,19.8,31.000,30.568,16.500,16.428,39.2641,28.0952,32.6407,sand,39.2641
1,1,IN,19,1,Top,44.80,44.22,26.0,20.9,14.0,21.9,24.500,24.824,13.000,13.683,43.8631,25.1929,30.9440,sand,43.8631
1,1,IN,19,2,Top,36.90,37.01,21.0,20.8,13.0,21.8,19.500,19.788,12.000,12.647,46.5340,19.2929,34.1731,sand,46.5340
