year,reef,in/out,position,core,top/bot,sand,silt,clay,volume (cm3),total mass,sand mass,silt mass,clay mass,sample weight,weight lost,%om
1,1,IN,0,1,Top,61.6717,19.0243,19.3040,39.26,51.40,31.6993,9.7785,9.9223,2.9765,0.0567,1.9049
1,1,IN,0,2,Top,60.8029,15.4786,23.7186,39.26,61.60,37.4546,9.5348,14.6106,3.0179,0.0634,2.1008
1,1,IN,0,3,Top,57.5433,16.1133,26.3434,39.26,41.20,23.7078,6.6387,10.8535,2.9916,0.0591,1.9755
1,1,IN,0,4,Top,57.2975,19.1504,23.5521,39.26,56.00,32.0866,10.7242,13.1892,2.9754,0.0465,1.5628
1,1,IN,0,5,Top,52.7221,18.4709,28.8070,39.26,36.10,19.0327,6.6680,10.3993,2.9487,0.0667,2.2620
1,1,IN,0,1,Bot,62.7071,14.4733,22.8196,117.81,141.10,88.4798,20.4218,32.1985,2.9960,0.0841,2.8071
1,1,IN,0,2,Bot,52.5669,16.0196,31.4135,117.81,151.90,79.8491,24.3338,47.7171,2.9629,0.0749,2.5279
1,1,IN,0,3,Bot,44.8346,22.9366,32.2288,117.81,128.10,57.4332,29.3817,41.2851,2.9774,0.0771,2.5895
1,1,IN,0,4,Bot,47.4069,23.0336,29.5595,117.81,109.90,52.1001,25.3139,32.4859,2.9892,0.0812,2.7164
1,1,IN,0,5,Bot,49.6829,19.9690,30.3481,117.81,135.60,67.3700,27.0780,41.1520,2.9634,0.0723,2.4398
1,1,IN,12,1,Top,54.9528,16.9322,28.1151,39.26,42.20,23.1901,7.1454,11.8646,2.9976,0.0756,2.5220
1,1,IN,12,2,Top,49.5907,18.7022,31.7071,39.26,40.60,20.1338,7.5931,12.8731,2.9545,0.0698,2.3625
1,1,IN,12,3,Top,42.7196,23.5015,33.7789,39.26,41.10,17.5578,9.6591,13.8831,2.9642,0.0639,2.1557
1,1,IN,12,4,Top,41.8858,21.5374,36.5769,39.26,28.50,11.9375,6.1381,10.4244,2.9600,0.0535,1.8074
1,1,IN,12,5,Top,33.7773,23.1047,43.1179,39.26,28.90,9.7617,6.6773,12.4611,2.9780,0.0721,2.4211
1,1,IN,12,1,Bot,54.3711,19.0865,26.5424,117.81,118.70,64.5385,22.6557,31.5058,2.9516,0.0708,2.3987
1,1,IN,12,2,Bot,42.3301,25.0683,32.6016,117.81,123.10,52.1084,30.8590,40.1326,2.9695,0.0873,2.9399
1,1,IN,12,3,Bot,50.5777,14.0973,35.3250,117.81,77.40,39.1471,10.9113,27.3415,2.9953,0.0771,2.5740
