wind_speed,wind_direction
2.2,85
2.6,85
2.5,85
2.4,85
1.7,85
1.6,89
3.8,95
4.8,96
5.9,68
6.9,59
6.5,67
6.5,62
5.9,80
5.3,91
8.6,128
7.6,130
6.3,113
5.5,106
3.9,112
2.7,119
1.7,119
4.5,85
5.4,60
5.8,44
6.0,44
4.7,49
1.7,45
2.7,31
4.8,12
5.9,10
5.6,11
5.9,72
6.5,62
7.5,39
8.1,36
8.7,40
9.2,28
8.5,44
7.7,43
6.5,56
4.7,86
6.8,81
6.8,83
4.4,89
5.0,87
3.8,94
3.3,92
3.4,86
3.7,88
4.5,88
4.3,93
5.1,87
4.2,88
3.0,96
3.4,107
5.0,97
5.4,101
5.2,113
5.4,114
6.0,77
7.6,31
5.5,95
6.3,117
5.4,105
4.9,103
5.1,92
3.6,125
5.1,93
5.0,85
4.1,69
3.0,83
2.9,84
5.9,57
5.8,48
5.9,43
5.6,43
4.8,43
5.0,73
4.7,75
4.7,83
5.1,91
5.2,359
6.5,73
7.6,60
7.4,70
7.0,66
6.2,66
8.0,130
5.7,123
6.1,110
5.8,104
4.3,100
4.6,90
3.1,86
2.7,91
4.7,79
5.2,59
6.6,72
5.9,82
6.4,79
6.6,78
6.4,81
6.7,76
7.4,74
7.5,73
8.4,59
7.5,65
8.6,63
8.9,60
8.9,57
8.6,58
8.0,60
7.7,62
5.6,62
4.4,73
3.2,81
1.5,81
1.4,81
1.5,81
3.6,81
5.0,81
4.3,81
4.7,81
2.9,81
1.5,81
1.2,95
3.7,100
6.0,68
7.4,57
8.1,59
8.4,50
8.8,43
8.9,48
8.3,63
8.6,63
8.5,46
8.2,24
7.4,35
4.9,62
3.7,79
1.5,89
1.6,93
2.7,93
2.0,92
1.2,92
1.3,92
1.1,92
1.1,92
1.1,92
1.1,91
1.7,98
2.6,104
5.0,89
6.4,67
6.1,70
6.2,69
7.4,52
8.4,47
9.0,32
8.3,39
7.2,45
7.4,49
4.9,67
3.9,73
1.6,81
2.5,81
4.0,82
2.9,82
2.0,82
1.2,82
1.2,82
1.3,82
1.1,82
2.4,83
2.2,83
4.8,81
6.8,52
7.5,43
7.5,59
8.5,40
8.7,46
8.8,38
8.4,58
9.3,25
7.3,46
5.6,72
4.5,72
3.4,107
2.1,106
1.6,106
1.8,106
1.6,106
1.4,106
1.6,106
1.1,106
1.6,105
1.4,105
2.6,105
3.2,106
4.1,105
5.7,80
7.1,69
8.0,62
8.5,60
8.9,55
8.6,63
8.3,48
7.4,64
8.2,19
6.0,65
4.3,76
2.5,72
2.1,72
1.5,73
1.4,73
1.2,73
1.3,72
1.2,72
1.4,72
1.4,72
1.5,72
3.5,72
1.6,75
2.1,94
3.4,98
5.7,71
6.1,57
5.9,76
6.9,69
7.4,66
6.4,70
5.8,79
5.5,75
4.0,92
3.8,87
2.7,92
1.7,92
1.6,92
1.5,92
1.2,92
1.1,92
1.3,91
1.0,91
1.1,91
1.0,91
1.2,91
1.2,97
2.5,110
3.1,122
4.8,93
5.5,89
5.6,85
6.1,77
5.5,88
6.8,60
7.2,49
6.9,61
5.5,70
2.5,96
1.9,113
1.5,115
1.7,115
1.3,115
1.9,115
2.2,114
2.2,114
1.6,114
2.6,123
1.5,126
2.2,126
1.9,101
1.9,104
2.7,104
3.6,129
3.0,153
3.4,152
3.1,152
5.0,108
4.3,100
4.1,101
3.3,101
3.9,129
3.3,137
1.4,137
1.4,137
1.6,137
1.9,122
2.3,120
2.6,120
3.4,120
4.2,119
2.3,119
1.6,119
1.6,124
1.4,166
2.4,162
3.3,153
5.0,120
5.1,115
5.2,110
5.4,107
5.1,100
5.2,100
4.6,104
4.1,104
2.9,109
2.6,109
1.8,109
1.7,109
1.8,109
1.5,109
1.7,108
2.0,108
2.1,108
3.9,73
6.6,63
7.8,166
4.9,90
4.4,144
6.3,156
4.9,104
4.6,146
3.8,156
3.6,134
3.9,120
4.2,107
4.6,93
3.3,108
4.2,95
3.5,82
2.0,82
2.1,82
1.4,82
2.0,82
2.3,82
1.8,82
2.5,82
2.2,82
1.6,82
1.7,82
1.8,82
4.2,110
3.2,85
4.3,103
4.1,86
6.0,77
3.6,153
4.5,115
5.2,96
5.8,68
4.8,74
4.7,94
4.1,100
3.5,101
3.2,101
2.0,103
1.5,103
1.6,103
1.5,103
2.3,103
1.7,103
1.8,103
1.5,103
1.3,103
1.4,103
1.3,110
1.3,137
1.9,132
4.5,104
4.4,108
5.7,90
5.3,97
5.3,97
5.3,95
5.0,90
4.3,107
3.5,125
4.7,147
2.8,153
2.2,153
2.6,153
2.3,153
2.2,153
1.8,152
