wind_speed,wind_direction
6.2,204
6.6,215
6.4,198
4.9,208
2.9,222
5.0,219
6.3,210
5.8,193
6.2,194
7.1,194
7.4,188
8.8,171
8.0,169
8.0,167
5.1,293
5.6,210
4.1,220
4.0,192
3.8,170
3.2,173
2.6,197
1.6,264
2.8,169
5.8,168
4.3,184
3.2,179
3.3,192
3.0,194
3.4,178
2.9,180
3.6,178
6.0,167
6.9,178
7.2,173
7.8,178
8.5,167
6.3,186
6.7,194
6.3,195
5.2,219
4.3,182
5.2,165
3.9,140
3.2,184
4.1,207
5.2,197
4.7,196
4.3,190
4.1,169
4.0,177
4.1,185
3.9,182
4.0,200
4.8,202
5.0,199
5.9,189
5.8,178
7.0,178
6.7,177
6.1,191
7.1,180
6.9,172
7.4,172
6.7,170
5.5,174
4.2,193
3.3,228
2.6,186
1.7,12
1.0,307
1.5,249
3.6,184
5.0,198
5.0,191
4.5,207
4.8,203
5.4,204
6.1,215
5.4,201
5.2,211
5.7,211
6.2,176
7.4,171
7.9,178
7.2,183
7.3,177
6.0,188
4.6,191
3.3,66
3.2,11
2.9,348
2.3,12
2.3,39
3.5,199
5.3,174
6.0,159
6.7,160
5.5,175
4.4,201
5.4,201
5.9,203
5.2,212
5.7,210
5.7,214
5.1,216
5.9,199
7.4,185
6.9,184
6.9,188
7.8,191
7.3,178
6.0,178
5.2,181
4.2,182
3.8,177
2.6,168
1.9,209
2.4,220
3.4,212
4.6,208
5.9,208
5.2,210
5.5,208
5.4,212
5.9,215
5.8,212
5.0,211
5.8,216
6.6,195
7.2,189
7.2,189
7.0,189
7.7,197
8.0,176
7.5,175
7.3,179
6.7,165
4.8,188
3.7,187
2.1,279
2.3,132
2.8,187
3.8,191
2.9,205
2.0,203
4.1,186
2.3,223
2.6,226
3.6,214
3.5,215
2.7,210
3.7,205
4.5,203
6.4,187
7.9,171
9.2,169
8.5,177
7.8,174
6.8,161
4.7,136
4.1,355
4.9,228
6.2,214
5.4,206
5.3,206
3.7,204
3.2,185
3.3,182
2.5,159
3.5,217
2.6,216
1.5,158
2.3,222
3.4,209
2.7,218
4.0,263
4.0,266
5.4,180
6.3,167
5.2,198
5.3,203
5.7,279
6.9,320
5.5,327
5.3,318
6.5,328
9.0,300
6.9,305
6.7,309
6.2,296
4.0,213
2.7,314
4.5,311
3.9,313
4.0,288
1.9,89
2.3,160
2.6,99
4.0,148
4.4,212
3.8,303
6.6,175
8.2,171
7.4,177
6.5,181
6.6,140
4.6,24
4.4,337
5.2,312
5.4,299
3.7,309
2.5,298
2.4,317
2.3,328
2.8,303
2.4,207
2.4,223
2.4,205
2.2,140
1.9,229
1.3,35
1.1,320
1.1,341
4.1,178
6.5,179
7.3,167
7.4,156
7.6,148
7.7,156
5.0,16
6.0,347
5.4,339
5.2,348
7.2,341
5.4,306
4.0,322
3.9,286
2.9,129
1.4,26
1.2,309
1.2,301
1.0,323
1.0,335
1.2,313
1.2,282
1.1,258
2.2,212
3.7,197
5.1,179
5.5,183
5.1,187
5.6,189
6.1,192
5.8,187
5.0,187
5.4,334
7.3,323
7.6,311
8.5,317
4.4,326
1.1,338
1.1,349
1.4,317
1.4,290
1.8,305
1.3,334
1.1,325
1.2,333
1.0,335
1.0,332
1.6,175
4.4,210
5.4,181
5.8,188
5.3,188
5.4,198
5.8,195
6.1,179
6.7,169
5.2,160
3.5,214
4.2,324
1.3,358
1.6,327
1.3,339
1.4,285
3.9,229
3.7,209
3.5,193
2.1,265
1.6,268
1.0,205
1.2,223
1.1,320
1.9,223
3.6,181
4.6,195
5.5,184
5.5,192
5.2,203
5.6,190
6.4,202
6.5,205
5.7,206
5.1,228
4.7,227
3.0,219
2.0,279
1.9,293
1.8,293
1.7,309
1.7,289
1.3,309
1.2,340
1.1,331
1.1,317
1.0,337
1.0,345
1.7,13
2.7,13
3.1,27
2.9,152
4.7,204
5.1,201
4.8,195
5.0,206
5.0,224
4.1,259
2.9,230
3.1,125
2.0,154
1.6,328
1.5,333
1.7,318
2.4,270
2.7,243
1.2,331
1.1,322
1.2,340
1.3,341
1.0,342
1.1,314
1.3,29
2.1,104
3.0,188
4.6,198
5.4,208
5.1,202
5.1,217
5.5,205
5.8,189
5.6,181
5.2,185
3.5,218
1.9,241
2.2,243
1.8,278
2.2,253
2.6,243
1.8,250
3.2,195
2.2,167
1.4,333
1.1,315
1.1,342
1.3,344
1.4,22
3.7,176
3.9,193
5.3,176
5.2,180
6.4,191
7.1,185
8.4,172
8.9,164
10.1,157
7.1,177
5.9,202
4.6,180
5.4,181
4.8,193
5.7,199
7.4,218
7.5,214
7.8,215
9.0,212
9.0,213
6.6,216
4.8,220
6.5,211
7.7,212
8.5,209
9.4,212
8.9,208
10.6,207
10.7,208
10.9,200
11.8,210
12.2,198
11.7,195
10.4,200
9.1,202
8.1,208
8.1,213
6.8,213
8.4,214
8.6,215
7.6,222
7.9,218
6.8,218
4.4,221
3.2,236
2.9,228
2.7,272
3.6,216
5.9,209
6.7,208
6.9,199
7.3,201
9.2,200
9.6,209
10.9,204
10.7,213
12.1,213
12.8,209
10.7,210
7.2,210
5.0,183
4.8,209
4.5,205
3.7,221
1.8,256
2.2,223
3.8,213
3.4,218
2.3,227
1.8,201
1.4,239
2.2,193
2.1,211
3.6,196
5.3,204
7.0,181
8.1,188
9.5,189
9.6,200
9.1,197
7.4,181
6.6,176
6.3,186
4.3,164
1.3,182
1.9,172
3.1,198
1.4,299
1.3,330
1.3,358
1.2,30
1.3,342
1.2,340
1.0,12
1.8,250
3.0,328
2.8,233
3.4,232
3.9,247
5.2,163
5.0,97
5.7,179
7.4,172
7.5,167
4.7,191
6.1,332
5.3,332
3.6,313
4.1,185
2.4,231
1.6,314
1.1,327
1.3,348
1.1,304
1.4,299
1.3,329
1.0,319
1.0,2
1.0,315
1.4,219
4.5,209
5.8,185
6.6,174
6.0,177
6.3,172
6.1,196
5.7,192
4.6,168
4.9,323
8.8,325
10.3,326
10.2,317
6.4,312
8.5,312
4.1,108
3.8,128
2.8,185
2.2,203
3.1,217
3.7,224
4.4,200
4.3,214
4.2,194
4.6,199
5.0,198
5.4,182
6.3,183
6.1,186
6.0,187
6.2,202
6.3,207
6.0,212
5.7,177
5.2,118
4.6,50
3.4,176
2.9,159
2.7,185
1.7,232
2.6,217
3.2,215
2.6,227
3.1,224
2.8,224
2.8,216
2.2,207
3.3,223
6.3,213
6.9,203
8.8,198
10.1,196
10.7,192
9.7,187
9.7,182
10.5,190
8.8,190
8.4,196
8.3,179
9.3,189
7.7,199
7.0,189
5.9,195
5.8,210
4.5,210
1.6,230
1.0,306
1.0,342
1.0,305
1.6,353
1.5,348
1.6,316
1.6,343
1.9,150
3.2,75
5.0,141
6.8,183
7.4,177
7.3,182
7.6,176
7.7,170
6.7,171
7.9,159
5.6,171
3.0,168
2.0,190
1.4,352
1.1,308
1.4,349
1.1,0
1.1,343
1.0,292
1.1,0
1.1,178
1.5,356
1.1,26
2.1,14
2.6,31
4.2,177
6.0,173
5.8,182
6.4,184
6.4,189
6.5,188
6.5,181
5.4,184
5.2,178
4.7,173
2.6,192
2.2,193
1.1,316
1.4,321
1.1,339
1.0,320
1.0,303
1.0,312
1.0,331
1.0,233
1.0,338
1.0,301
1.1,151
1.6,102
3.0,165
4.3,192
5.4,204
5.4,193
5.9,195
6.3,201
6.2,190
5.5,191
4.8,182
4.8,191
2.4,211
1.6,222
1.2,299
1.2,316
1.6,234
1.4,262
1.3,268
1.0,346
1.0,309
1.0,0
1.0,292
1.0,345
1.0,354
3.0,171
4.1,182
5.5,176
5.6,182
6.3,190
6.3,184
7.0,179
6.7,184
6.7,176
4.9,186
4.1,185
2.6,176
2.4,191
1.5,190
1.5,214
1.5,339
1.2,341
1.0,337
1.0,342
1.0,311
1.0,313
1.3,277
1.0,284
1.2,154
2.7,156
3.1,132
4.2,185
7.0,181
8.1,182
8.3,187
8.3,169
8.1,182
6.7,188
6.6,168
3.5,222
2.1,308
1.6,286
1.9,254
2.1,216
1.4,347
1.0,332
1.1,337
1.1,335
1.6,258
2.5,270
2.2,274
1.9,302
2.1,235
2.2,268
3.1,260
4.2,194
5.9,152
4.2,353
5.5,348
5.2,353
7.1,348
7.3,345
5.6,342
4.8,322
3.1,344
3.3,315
3.4,290
4.3,315
5.1,308
5.2,309
