distance_from_reef,mass_lost,row_ID
16.5,73.7,40
16.5,75.9,40
16.5,70.1,40
16.5,71.5,40
16.5,77.8,40
16.5,64.5,0
16.5,69.2,0
16.5,68.5,0
16.5,67.5,0
16.5,70.4,0
16.5,64.5,10
16.5,67.2,10
16.5,71.4,10
16.5,71.2,10
16.5,65.7,10
1.5,73.5,25
1.5,65.7,25
1.5,65.8,25
1.5,62.1,25
1.5,76.2,25
1.5,73.7,40
1.5,45.5,40
1.5,69.5,40
1.5,70.7,40
1.5,76.0,40
1.5,59.1,10
1.5,65.7,10
1.5,70.2,10
1.5,67.4,10
1.5,62.8,10
16.5,74.6,65
16.5,68.6,65
16.5,69.3,65
16.5,67.2,65
16.5,65.3,65
8.5,69.2,40
8.5,80.9,40
8.5,69.7,40
8.5,67.1,40
8.5,65.0,40
8.5,63.6,10
8.5,59.0,10
8.5,65.5,10
8.5,59.0,10
8.5,59.6,10
1.5,68.6,65
1.5,65.2,65
1.5,88.1,65
1.5,74.9,65
1.5,66.5,65
8.5,64.7,25
8.5,67.0,25
8.5,73.8,25
8.5,63.8,25
8.5,73.7,25
1.5,61.2,50
1.5,66.0,50
1.5,67.2,50
1.5,68.0,50
1.5,66.6,50
16.5,70.7,25
16.5,69.8,25
16.5,76.0,25
16.5,72.1,25
16.5,90.4,25
8.5,65.4,50
8.5,82.3,50
8.5,65.7,50
8.5,45.9,50
8.5,73.9,50
8.5,66.3,65
8.5,70.8,65
8.5,65.0,65
8.5,67.5,65
8.5,69.3,65
8.5,62.8,0
8.5,62.2,0
8.5,62.2,0
8.5,55.4,0
8.5,64.8,0
16.5,76.9,50
16.5,72.3,50
16.5,70.6,50
16.5,74.3,50
16.5,81.8,50
1.5,60.5,0
1.5,58.6,0
1.5,68.2,0
1.5,68.8,0
1.5,75.7,0
