reef,in/out,position,core,top/bot,sand,silt,clay,volume (cm3),total mass,sand mass,silt mass,clay mass,sample weight,weight lost,%om
1,IN,0,1,Top,0.0000,57.9640,42.0360,39.26,22.42,0.00,13.00,9.42,3.2647,0.0989,3.02937482770239
1,IN,0,2,Top,3.9819,54.8675,41.1506,39.26,27.85,1.11,15.28,11.46,2.8634,0.0857,2.99294544946567
1,IN,0,3,Top,3.5255,59.5823,36.8922,39.26,32.42,1.14,19.32,11.96,2.9701,0.0911,3.06723679337396
1,IN,0,4,Top,9.6133,57.3957,32.9910,39.26,34.52,3.32,19.81,11.39,2.9999,0.0954,3.18010600353345
1,IN,0,5,Top,3.4059,53.7090,42.8850,39.26,25.39,0.86,13.64,10.89,3.0664,0.0996,3.24810853117662
1,IN,0,1,Bot,13.8948,52.2630,33.8422,117.81,85.70,11.91,44.79,29.00,2.9725,0.0943,3.17241379310345
1,IN,0,2,Bot,19.0895,50.6765,30.2341,117.81,83.30,15.90,42.21,25.18,2.928,0.0944,3.22404371584699
1,IN,0,3,Bot,11.3739,55.0372,33.5889,117.81,92.60,10.53,50.96,31.10,2.9484,0.0944,3.20173653506987
1,IN,0,4,Bot,11.9866,52.6816,35.3318,117.81,92.50,11.09,48.73,32.68,3.0813,0.0919,2.98250738324733
1,IN,0,5,Bot,16.1173,53.2389,30.6438,117.81,96.00,15.47,51.11,29.42,2.9968,0.1014,3.38360918312867
1,IN,12,1,Top,7.0636,53.6180,39.3184,39.26,33.96,2.40,18.21,13.35,2.8755,0.0904,3.14380107807338
1,IN,12,2,Top,7.5319,56.5686,35.8995,39.26,40.08,3.02,22.67,14.39,3.0216,0.0975,3.22676727561557
1,IN,12,3,Top,7.8696,54.3624,37.7680,39.26,28.83,2.27,15.67,10.89,3.0593,0.1015,3.31775242702579
1,IN,12,4,Top,0.0000,56.9900,43.0100,39.26,19.42,0.00,11.07,8.35,2.9801,0.106,3.55692761987853
1,IN,12,5,Top,0.0000,54.0230,45.9770,39.26,24.77,0.00,13.38,11.39,2.8249,0.1065,3.77004495734362
1,IN,12,1,Bot,17.3076,52.1462,30.5462,117.81,81.50,14.11,42.50,24.90,2.9877,0.0862,2.88516249958162
1,IN,12,2,Bot,12.9600,55.3454,31.6946,117.81,82.50,10.69,45.66,26.15,3.1185,0.0939,3.01106301106301
1,IN,12,3,Bot,13.9262,72.3161,13.7578,117.81,85.20,11.87,61.61,11.72,2.9505,0.0935,3.16895441450602
1,IN,12,4,Bot,11.6188,52.7878,35.5934,117.81,84.10,9.77,44.39,29.93,2.866,0.0899,3.13677599441731
1,IN,12,5,Bot,9.1516,56.1590,34.6894,117.81,92.00,8.42,51.67,31.91,2.8511,0.0918,3.21980989793413
1,IN,19,1,Top,0.0000,49.6688,50.3312,39.26,22.47,0.00,11.16,11.31,2.8858,0.1197,4.14789659713078
1,IN,19,2,Top,0.0000,58.0974,41.9026,39.26,23.41,0.00,13.60,9.81,2.9182,0.1099,3.76602014940717
