wind_speed,wind_direction
2.0,337.5
4.0,337.5
0.0,45.0
0.0,22.5
2.0,337.5
3.0,337.5
1.0,315.0
1.0,292.5
0.0,292.5
1.0,292.5
0.0,337.5
0.0,292.5
0.0,292.5
0.0,292.5
0.0,292.5
0.0,315.0
0.0,292.5
1.0,292.5
0.0,315.0
0.0,315.0
0.0,315.0
1.0,292.5
0.0,292.5
0.0,292.5
1.0,315.0
0.0,315.0
2.0,315.0
0.0,315.0
0.0,292.5
1.0,292.5
1.0,315.0
0.0,292.5
0.0,292.5
0.0,292.5
0.0,292.5
0.0,292.5
0.0,292.5
0.0,337.5
0.0,202.5
0.0,202.5
0.0,202.5
0.0,202.5
0.0,202.5
0.0,247.5
0.0,247.5
0.0,247.5
0.0,247.5
0.0,247.5
0.0,247.5
0.0,247.5
0.0,247.5
1.0,292.5
0.0,292.5
0.0,292.5
0.0,292.5
0.0,292.5
0.0,292.5
0.0,292.5
3.0,292.5
0.0,292.5
0.0,270.0
0.0,270.0
0.0,202.5
1.0,90.0
0.0,135.0
0.0,135.0
0.0,135.0
0.0,135.0
1.0,67.5
1.0,45.0
2.0,135.0
3.0,112.5
3.0,112.5
2.5,135.0
3.0,135.0
2.0,112.5
3.0,135.0
3.0,135.0
2.0,112.5
1.0,90.0
2.0,112.5
1.0,90.0
1.0,135.0
0.0,67.5
1.0,90.0
2.0,45.0
1.0,22.5
1.0,90.0
0.0,90.0
0.0,67.5
0.0,67.5
0.0,90.0
0.0,90.0
0.0,90.0
2.0,45.0
0.0,22.5
0.0,90.0
0.0,135.0
0.0,135.0
0.0,157.5
0.0,157.5
0.0,157.5
0.0,157.5
0.0,157.5
0.0,67.5
0.0,67.5
1.0,135.0
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,112.5
0.0,292.5
0.0,292.5
0.0,292.5
0.0,292.5
1.0,292.5
0.0,292.5
2.0,22.5
0.0,45.0
0.0,45.0
1.0,45.0
0.0,45.0
0.0,45.0
0.0,45.0
0.0,67.5
0.0,67.5
0.0,67.5
0.0,67.5
1.0,67.5
3.0,112.5
1.0,112.5
0.0,112.5
0.0,67.5
0.0,0.0
0.0,45.0
0.0,112.5
1.0,112.5
3.0,67.5
0.0,112.5
0.0,112.5
0.0,67.5
0.0,67.5
0.0,67.5
1.0,112.5
0.0,90.0
0.0,22.5
0.0,22.5
1.0,22.5
0.0,180.0
2.0,180.0
3.0,202.5
0.0,225.0
1.0,112.5
2.0,180.0
2.0,157.5
1.0,135.0
5.0,135.0
4.0,180.0
4.0,180.0
1.0,202.5
0.0,135.0
2.0,225.0
4.0,180.0
4.0,180.0
2.0,135.0
2.0,180.0
2.0,180.0
8.0,180.0
2.0,270.0
3.0,247.5
8.0,225.0
8.0,225.0
7.0,180.0
4.0,180.0
2.0,202.5
0.0,202.5
0.0,292.5
0.0,157.5
2.0,180.0
0.0,180.0
0.0,292.5
0.0,292.5
0.0,292.5
0.0,270.0
0.0,270.0
0.0,270.0
0.0,270.0
0.0,270.0
0.0,270.0
2.0,292.5
1.0,292.5
0.0,270.0
3.0,292.5
2.0,247.5
3.0,292.5
8.0,292.5
6.0,315.0
0.0,292.5
5.0,270.0
5.0,315.0
3.0,270.0
6.0,292.5
10.0,315.0
2.0,247.5
6.0,315.0
3.0,225.0
4.0,337.5
2.0,315.0
0.0,135.0
5.0,292.5
7.0,225.0
3.0,270.0
5.0,315.0
8.0,270.0
7.0,315.0
4.0,315.0
0.0,315.0
1.0,270.0
8.0,292.5
10.0,315.0
6.0,270.0
1.0,270.0
3.0,270.0
2.0,247.5
0.0,270.0
0.0,315.0
1.0,292.5
1.0,202.5
2.0,292.5
1.0,292.5
