distance_from_reef,mass_lost,row_ID
8.5,53.5,0
8.5,52.2,0
1,50.4,0
1,47.0,0
1,45.7,0
8.5,54.2,25
16.5,46.6,25
8.5,48.2,55
8.5,50.3,55
16.5,48.2,45
16.5,47.6,45
16.5,47.5,45
16.5,48.8,15
16.5,49.3,45
8.5,55.7,55
16.5,51.9,0
16.5,51.3,15
16.5,47.5,0
16.5,53.4,0
16.5,50.2,25
16.5,50.9,15
16.5,51.4,15
16.5,48.4,25
16.5,58.1,25
8.5,47.4,0
1,48.9,55
1,44.2,35
1,44.7,55
16.5,46.2,55
8.5,49.4,25
8.5,48.6,25
8.5,49.7,25
16.5,52.1,55
16.5,48.6,55
16.5,54.5,55
8.5,53.2,55
8.5,47.9,15
8.5,47.5,15
1,43.7,45
1,42.0,45
1,44.2,45
1,42.1,35
1,39.9,35
1,41.3,35
1,44.4,55
1,45.8,55
16.5,46.7,35
16.5,48.6,35
1,45.1,25
1,44.9,25
1,47.2,25
1,43.5,25
8.5,46.4,15
8.5,48.2,15
1,42.3,45
8.5,49.4,45
8.5,47.9,45
1,48.9,15
1,41.1,15
1,47.9,15
1,47.4,15
16.5,49.3,35
16.5,51.2,35
8.5,50.6,35
8.5,47.1,35
8.5,46.5,35
8.5,44.8,35
8.5,51.0,45
8.5,47.3,45
