reef,in/out,position,core,top/bot,total mass,sample mass,hydro 40sec,temp 40sec,hydro 2hr,temp 2hr,cor. 40sec,temp.cor. 40sec,cor. 2hr,temp.cor. 2hr,sand,silt,clay,grain,percent
1,IN,0,1,Top,22.42,22.42,27.0,16.3,13.0,18.4,24.000,22.669,10.000,9.424,0.0000,57.9640,42.0360,sand,0.0000
1,IN,0,2,Top,27.85,27.85,31.0,16.5,15.0,18.5,28.000,26.741,12.000,11.460,3.9819,54.8675,41.1506,sand,3.9819
1,IN,0,3,Top,32.42,32.42,35.5,16.6,15.5,18.5,32.500,31.277,12.500,11.960,3.5255,59.5823,36.8922,sand,3.5255
1,IN,0,4,Top,34.52,34.52,36.0,15.0,15.0,18.3,33.000,31.202,12.000,11.389,9.6133,57.3957,32.9910,sand,9.6133
1,IN,0,5,Top,25.39,25.39,29.0,15.9,14.5,18.3,26.000,24.525,11.500,10.889,3.4059,53.7090,42.8850,sand,3.4059
1,IN,0,1,Bot,85.70,50.01,47.5,16.0,20.5,18.4,44.500,43.061,17.500,16.924,13.8948,52.2630,33.8422,sand,13.8948
1,IN,0,2,Bot,83.30,50.66,45.5,15.8,19.0,18.1,42.500,40.989,16.000,15.317,19.0895,50.6765,30.2341,sand,19.0895
1,IN,0,3,Bot,92.60,50.28,49.0,16.0,20.5,18.3,46.000,44.561,17.500,16.889,11.3739,55.0372,33.5889,sand,11.3739
1,IN,0,4,Bot,92.50,50.63,49.0,16.0,21.5,18.3,46.000,44.561,18.500,17.889,11.9866,52.6816,35.3318,sand,11.9866
1,IN,0,5,Bot,96.00,50.10,46.5,15.9,19.0,18.2,43.500,42.025,16.000,15.353,16.1173,53.2389,30.6438,sand,16.1173
1,IN,12,1,Top,33.96,33.96,36.0,16.0,17.0,18.2,33.000,31.561,14.000,13.353,7.0636,53.6180,39.3184,sand,7.0636
1,IN,12,2,Top,40.08,40.08,41.5,16.0,18.0,18.3,38.500,37.061,15.000,14.389,7.5319,56.5686,35.8995,sand,7.5319
1,IN,12,3,Top,28.83,28.83,31.0,16.0,14.5,18.3,28.000,26.561,11.500,10.889,7.8696,54.3624,37.7680,sand,7.8696
1,IN,12,4,Top,19.42,19.42,24.5,16.0,12.0,18.2,21.500,20.061,9.000,8.353,0.0000,56.9900,43.0100,sand,0.0000
1,IN,12,5,Top,24.77,24.77,30.0,16.0,15.0,18.3,27.000,25.561,12.000,11.389,0.0000,54.0230,45.9770,sand,0.0000
1,IN,12,1,Bot,81.50,50.26,46.0,16.0,19.0,18.2,43.000,41.561,16.000,15.353,17.3076,52.1462,30.5462,sand,17.3076
1,IN,12,2,Bot,82.50,50.13,48.0,16.2,19.5,18.3,45.000,43.633,16.500,15.889,12.9600,55.3454,31.6946,sand,12.9600
1,IN,12,3,Bot,85.20,50.07,47.5,16.1,10.5,18.3,44.500,43.097,7.500,6.889,13.9262,72.3161,13.7578,sand,13.9262
1,IN,12,4,Bot,84.10,50.46,49.0,16.1,21.5,18.5,46.000,44.597,18.500,17.960,11.6188,52.7878,35.5934,sand,11.6188
1,IN,12,5,Bot,92.00,50.23,50.0,16.2,21.0,18.4,47.000,45.633,18.000,17.424,9.1516,56.1590,34.6894,sand,9.1516
1,IN,19,1,Top,22.47,22.47,30.5,14.0,16.5,15.3,27.500,25.342,13.000,11.309,0.0000,49.6688,50.3312,sand,0.0000
1,IN,19,2,Top,23.41,23.41,31.0,14.0,15.0,15.3,28.000,25.842,11.500,9.809,0.0000,58.0974,41.9026,sand,0.0000
1,IN,19,3,Top,25.18,25.18,33.0,14.1,17.0,15.3,30.000,27.878,13.500,11.809,0.0000,53.1000,46.9000,sand,0.0000
1,IN,19,4,Top,23.11,23.11,29.5,13.5,15.0,15.2,26.500,24.162,11.500,9.773,0.0000,57.7090,42.2910,sand,0.0000
1,IN,19,5,Top,29.47,29.47,36.5,13.6,18.0,15.1,33.500,31.198,14.500,12.737,0.0000,56.7782,43.2218,sand,0.0000
1,IN,19,1,Bot,82.30,50.23,51.5,13.6,24.0,15.2,48.500,46.198,20.500,18.773,8.0272,54.5978,37.3750,sand,8.0272
1,IN,19,2,Bot,78.00,50.30,52.0,13.5,22.0,15.1,49.000,46.662,18.500,16.737,7.2327,59.4920,33.2753,sand,7.2327
1,IN,19,3,Bot,81.60,50.20,52.5,13.6,24.0,15.1,49.500,47.198,20.500,18.737,5.9802,56.6941,37.3256,sand,5.9802
1,IN,19,4,Bot,86.70,50.82,53.0,13.6,22.5,15.3,50.000,47.698,19.000,17.309,6.1434,59.7964,34.0602,sand,6.1434
1,IN,19,5,Bot,80.40,50.38,52.5,13.5,23.0,15.1,49.500,47.162,19.500,17.737,6.3876,58.4051,35.2074,sand,6.3876
1,IN,27,1,Top,23.24,23.24,30.5,13.5,16.5,15.1,27.500,25.162,13.000,11.237,0.0000,51.6460,48.3540,sand,0.0000
1,IN,27,2,Top,25.64,25.64,32.5,13.6,17.0,15.2,29.500,27.198,13.500,11.773,0.0000,54.0817,45.9183,sand,0.0000
1,IN,27,3,Top,32.30,32.30,37.0,13.5,18.0,15.1,34.000,31.662,14.500,12.737,1.9754,58.5897,39.4349,sand,1.9754
1,IN,27,4,Top,28.93,28.93,34.0,13.5,16.5,15.1,31.000,28.662,13.000,11.237,0.9265,60.2298,38.8437,sand,0.9265
1,IN,27,5,Top,27.44,27.44,34.0,13.6,17.0,15.2,31.000,28.698,13.500,11.773,0.0000,57.0939,42.9061,sand,0.0000
1,IN,27,1,Bot,89.90,50.72,52.5,13.6,25.0,15.2,49.500,47.198,21.500,19.773,6.9442,54.0703,38.9855,sand,6.9442
1,IN,27,2,Bot,81.80,50.37,50.5,13.8,25.0,15.3,47.500,45.270,21.500,19.809,10.1254,50.5469,39.3278,sand,10.1254
1,IN,27,3,Bot,70.00,50.48,53.0,13.8,25.0,15.3,50.000,47.770,21.500,19.809,5.3687,55.3892,39.2421,sand,5.3687
1,IN,27,4,Bot,82.90,50.50,52.0,13.8,25.0,15.3,49.000,46.770,21.500,19.809,7.3864,53.3870,39.2266,sand,7.3864
1,IN,27,5,Bot,80.90,50.56,53.5,13.9,25.5,15.4,50.500,48.306,22.000,20.345,4.4584,55.3015,40.2401,sand,4.4584
1,OUT,0,1,Top,27.58,27.58,32.0,18.1,14.0,19.9,29.500,28.817,12.000,11.964,0.0000,56.6206,43.3794,sand,0.0000
1,OUT,0,2,Top,28.34,28.34,32.0,18.1,14.5,19.9,29.500,28.817,12.500,12.464,0.0000,56.0197,43.9803,sand,0.0000
1,OUT,0,3,Top,27.83,27.83,31.5,18.2,15.0,20.0,29.000,28.353,13.000,13.000,0.0000,53.2878,46.7122,sand,0.0000
1,OUT,0,4,Top,34.98,34.98,38.0,17.3,17.0,19.5,35.500,34.529,15.000,14.820,1.2899,56.3427,42.3675,sand,1.2899
1,OUT,0,5,Top,25.37,25.37,30.5,17.3,14.5,19.6,28.000,27.029,12.500,12.356,0.0000,51.2963,48.7037,sand,0.0000
